tr isim,os_isim ,ebced,mağribi ebced,,,,
Yakup, یعقوب,188,188,,,,
İmsak, إمساك,122,362,,,,
Güneş, كونش,376,1076,,,,
İşrak, اِشراق,602,1302,,,,
Öğle, اوگله,62,62,,,,
İkindi, ايكندى,86,86,,,,
Akşam, آقشام,442,1142,,,,
Yatsı, ياتسي,481,721,,,,
Tarih, تاريخ,1211,1211,,,,
Namaz Vakitleri, نماز وقتلري,844,844,,,,
Namaz, نماز,98,98,,,,
Vakitler, وقتلر,736,736,,,,
Vakit, وقت,506,506,,,,
Ezan Saatleri,  ازان ساعتلري,830,1070,,,,
Ezan, ازان,59,59,,,,
Saat, ساعت,531,771,,,,
Osmanlıca, عثمانليجه,709,709,,,,
Osmanlı, عثمانلي,701,701,,,,
Osman, عثمان,661,661,,,,
İmsak Vakti, إمساك وقتي,638,878,,,,
Öğle Namazı, اوگله نمازي,170,170,,,,
İkindi Namazı, ايكندى نمازي,194,194,,,,
Akşam Namazı, آقشام نمازي,550,1250,,,,
Sabah Namazı, صباح نمازي,209,179,,,,
Yatsı Namazı, ياتسي نمازي,589,829,,,,
Çağdaş,چاغداش,1309,1909,,,,
Bu, بو,8,8,,,,
Teravih Namazı, تراويح نمازى,724,724,,,,
Teravih, تراويح,625,625,,,,
Başlıyor, باشلايور,550,1250,,,,
Aşure, عاشورا,578,1278,,,,
Abdest, آبدست,467,707,,,,
Abdesthane, آبدستخانه,1123,1363,,,,
Abes, عبث,572,572,,,,
Abide, آبده,12,12,,,,
Acaib, عجائب,87,87,,,,
Acele, عجله,108,108,,,,
Acaba, عجبا,76,76,,,,
Acem, عجم,113,113,,,,
Acemi, عجمی,123,123,,,,
Acil, عاجل,104,104,,,,
Acilen, عاجل,104,104,,,,
Aciz, عاجز,81,81,,,,
Acizane, عاجزانه,137,137,,,,
Adap, آداب,8,8,,,,
Adalet, عدالت,505,505,,,,
Adet, عادات,476,476,,,,
Aded, عدد,78,78,,,,
Adem, آدم,45,45,,,,
Adeta, عادتا,476,476,,,,
Adil, عادل,105,105,,,,
Adliyye, عدليه,119,119,,,,
Afaki, آفاقی,192,192,,,,
Afet, آفات,482,482,,,,
Aferin, آفرین,341,341,,,,
Afetzede, آفت زده,497,497,,,,
Afiyet, عافيت,561,561,,,,
Afrika, افریقا,392,392,,,,
Efsun, افسون,197,437,,,,
Af, عفو,156,156,,,,
Agah, آگاه,27,27,,,,
Ahali, اهالی,47,47,,,,
Ahbap, احباب,14,14,,,,
Ahid, عهد,79,79,,,,
Ahıret, آخرت,1201,1201,,,,
Ahıze, آخذه,1306,1306,,,,
Ahkam, احکام,70,70,,,,
Ahlak, اخلاق,732,732,,,,
Ahlat, اخلاط,641,641,,,,
Ahmak, احمق,149,149,,,,
Ahya, احيا,20,20,,,,
Akaid, عقائد,186,186,,,,
Akdem, اقدم,145,145,,,,
Akıbet, عاقبت,573,573,,,,
Âkıl, عاقِل,201,201,,,,
Akraba, اقرباء,305,305,,,,
Akrep, عقرب,372,372,,,,
Alaka, علاقه,206,206,,,,
Alakadar, علاقه دار,411,411,,,,
Alemet, علامت,541,541,,,,
Ocak, اوجاق,111,111,,,,
Şubat, شباط,312,1012,,,,
Mart, مارت,641,641,,,,
Nisan, نيسان,171,411,,,,
Mayıs, مايس,111,351,,,,
Haziran, خزيران,868,868,,,,
Temmuz, تموز,453,453,,,,
Ağustos, آغستس,1521,1901,,,,
Eylül, ايلول,77,77,,,,
Ekim, أكيم,71,71,,,,
Kasım, قاسم,201,441,,,,
Aralık, آرالق,332,332,,,,
Pazartesi, پازارايرتسى,883,1123,,,,
Salı, سالی,101,341,,,,
Çarşamba, چارشانبا,558,1258,,,,
Perşembe, پرشنبه,559,1259,,,,
Cuma, جمعه,118,118,,,,
